discriminant,mode,eigenvalue
-1.600000000000000033e-02,0.000000000000000000e+00,6.189064852534845174e-02
-1.600000000000000033e-02,1.000000000000000000e+00,8.851067347381437467e-02
-1.600000000000000033e-02,2.000000000000000000e+00,1.305899957734137917e-01
-1.600000000000000033e-02,3.000000000000000000e+00,1.904054349931357248e-01
-1.600000000000000033e-02,4.000000000000000000e+00,2.674223442643797188e-01
-1.600000000000000033e-02,5.000000000000000000e+00,3.615869840195996554e-01
-1.600000000000000033e-02,6.000000000000000000e+00,4.728788365042494446e-01
-1.600000000000000033e-02,7.000000000000000000e+00,6.012870409534656346e-01
-1.600000000000000033e-02,8.000000000000000000e+00,7.468034245635741808e-01
-1.600000000000000033e-02,9.000000000000000000e+00,9.094203999065033628e-01
-1.600000000000000033e-02,1.000000000000000000e+01,1.089130216054002398e+00
-1.600000000000000033e-02,1.100000000000000000e+01,1.285924656461135296e+00
-1.600000000000000033e-02,1.200000000000000000e+01,1.499794904366194226e+00
-1.600000000000000033e-02,1.300000000000000000e+01,1.730731477807867291e+00
-1.600000000000000033e-02,1.400000000000000000e+01,1.978724196133837099e+00
-1.600000000000000033e-02,1.500000000000000000e+01,2.243762161796872157e+00
-1.600000000000000033e-02,1.600000000000000000e+01,2.525833750035303638e+00
-1.600000000000000033e-02,1.700000000000000000e+01,2.824926602838723433e+00
-1.600000000000000033e-02,1.800000000000000000e+01,3.141027625343705054e+00
-1.600000000000000033e-02,1.900000000000000000e+01,3.474122983671569465e+00
-1.600000000000000033e-02,2.000000000000000000e+01,3.824198103653394298e+00
-1.600000000000000033e-02,2.100000000000000000e+01,4.191237670112270663e+00
-1.600000000000000033e-02,2.200000000000000000e+01,4.575225626518324873e+00
-1.600000000000000033e-02,2.300000000000000000e+01,4.976145174891318135e+00
1.734723475976807094e-18,0.000000000000000000e+00,5.411395857008385185e-02
1.734723475976807094e-18,1.000000000000000000e+00,9.948238998978051195e-02
1.734723475976807094e-18,2.000000000000000000e+00,1.500946685787361012e-01
1.734723475976807094e-18,3.000000000000000000e+00,2.045866849739876869e-01
1.734723475976807094e-18,4.000000000000000000e+00,2.622015482878298220e-01
1.734723475976807094e-18,5.000000000000000000e+00,3.224636337302581035e-01
1.734723475976807094e-18,6.000000000000000000e+00,3.850460680721125017e-01
1.734723475976807094e-18,7.000000000000000000e+00,4.497236159837793013e-01
1.734723475976807094e-18,8.000000000000000000e+00,5.164209383904735384e-01
1.734723475976807094e-18,9.000000000000000000e+00,5.854590597777070693e-01
1.734723475976807094e-18,1.000000000000000000e+01,6.579250232187646708e-01
1.734723475976807094e-18,1.100000000000000000e+01,7.355204319488833908e-01
1.734723475976807094e-18,1.200000000000000000e+01,8.196964924799868824e-01
1.734723475976807094e-18,1.300000000000000000e+01,9.111447484088562865e-01
1.734723475976807094e-18,1.400000000000000000e+01,1.010011857560026982e+00
1.734723475976807094e-18,1.500000000000000000e+01,1.116233667603029556e+00
1.734723475976807094e-18,1.600000000000000000e+01,1.229701583346954230e+00
1.734723475976807094e-18,1.700000000000000000e+01,1.350314024654888811e+00
1.734723475976807094e-18,1.800000000000000000e+01,1.477985764007122338e+00
1.734723475976807094e-18,1.900000000000000000e+01,1.612646050976984213e+00
1.734723475976807094e-18,2.000000000000000000e+01,1.754234925380571131e+00
1.734723475976807094e-18,2.100000000000000000e+01,1.902700006010917377e+00
1.734723475976807094e-18,2.200000000000000000e+01,2.057994079965729028e+00
1.734723475976807094e-18,2.300000000000000000e+01,2.220073366747365107e+00
4.000000000000010492e-04,0.000000000000000000e+00,5.201258567588004644e-02
4.000000000000010492e-04,1.000000000000000000e+00,9.560331791107984367e-02
4.000000000000010492e-04,2.000000000000000000e+00,1.476763116917619856e-01
4.000000000000010492e-04,3.000000000000000000e+00,2.122775982739906475e-01
4.000000000000010492e-04,4.000000000000000000e+00,2.930333976225942827e-01
4.000000000000010492e-04,5.000000000000000000e+00,3.912803730420739701e-01
4.000000000000010492e-04,6.000000000000000000e+00,5.073091164580645351e-01
4.000000000000010492e-04,7.000000000000000000e+00,6.411613788345693621e-01
4.000000000000010492e-04,8.000000000000000000e+00,7.928293909922767835e-01
4.000000000000010492e-04,9.000000000000000000e+00,9.622947366244432033e-01
4.000000000000010492e-04,1.000000000000000000e+01,1.149535801253890988e+00
4.000000000000010492e-04,1.100000000000000000e+01,1.354529141189594554e+00
4.000000000000010492e-04,1.200000000000000000e+01,1.577249632310151917e+00
4.000000000000010492e-04,1.300000000000000000e+01,1.817670390771826572e+00
4.000000000000010492e-04,1.400000000000000000e+01,2.075762673980243278e+00
4.000000000000010492e-04,1.500000000000000000e+01,2.351495800277012549e+00
4.000000000000010492e-04,1.600000000000000000e+01,2.644837088926498048e+00
4.000000000000010492e-04,1.700000000000000000e+01,2.955751815444529029e+00
4.000000000000010492e-04,1.800000000000000000e+01,3.284203177448778099e+00
4.000000000000010492e-04,1.900000000000000000e+01,3.630152267427160240e+00
4.000000000000010492e-04,2.000000000000000000e+01,3.993558050000701520e+00
4.000000000000010492e-04,2.100000000000000000e+01,4.374377341963886501e+00
4.000000000000010492e-04,2.200000000000000000e+01,4.772564794034653168e+00
4.000000000000010492e-04,2.300000000000000000e+01,5.188072873511115013e+00
